"","player","team","position","points","total_rebounds","assists","steals","blocks","missed_field_goals","missed_free_throws","turnovers","games_played","efficiency","salary"
"256","Justin Anderson","DAL","SF",3.78181818181818,2.4,0.527272727272727,0.345454545454545,0.454545454545455,-1.89090909090909,-0.2,-0.436363636363636,55,1.6507021665945,1449000
"257","Justin Harper","DET","PF",2.6,0.2,0,0.2,0,-1.2,-0.2,-0.4,5,0.551009814759819,99418
"258","Justin Holiday","CHI","SG",6.51851851851852,2.33333333333333,1.66666666666667,0.703703703703704,0.555555555555556,-3.37037037037037,-0.185185185185185,-0.962962962962963,27,0.521653584585514,947300
"259","Justise Winslow","MIA","SF",6.43589743589744,5.16666666666667,1.5,0.871794871794872,0.333333333333333,-3.42307692307692,-0.474358974358974,-1.21794871794872,78,2.39608667699902,2481720
"260","Jusuf Nurkic","DEN","C",8.21875,5.46875,1.25,0.75,1.375,-4.40625,-1.1875,-1.71875,32,2.50662856796988,1842000
"261","K.J. McDaniels","HOU","SF",2.40540540540541,1.13513513513514,0.27027027027027,0.189189189189189,0.162162162162162,-1.16216216216216,-0.162162162162162,-0.459459459459459,37,0.761407752578722,3333333
"262","Karl-Anthony Towns","MIN","C",18.3292682926829,10.4512195121951,1.96341463414634,0.707317073170732,1.68292682926829,-6.4390243902439,-0.634146341463415,-2.23170731707317,82,12.1079272543465,5703600
"263","Kawhi Leonard","SAS","SF",21.1527777777778,6.84722222222222,2.58333333333333,1.77777777777778,0.986111111111111,-7.48611111111111,-0.583333333333333,-1.45833333333333,72,12.5706717493269,16500000
"264","Keith Appling","ORL","PG",1.2,0.2,0.2,0.2,0,-1.2,0,-0.6,5,-0.781212336574029,161776
"265","Kelly Olynyk","BOS","C",9.95652173913044,4.07246376811594,1.52173913043478,0.753623188405797,0.478260869565217,-4.39130434782609,-0.463768115942029,-1.07246376811594,69,5.40182318299213,2165160
"266","Kelly Oubre","WAS","SF",3.74603174603175,2.11111111111111,0.206349206349206,0.349206349206349,0.111111111111111,-1.92063492063492,-0.285714285714286,-0.53968253968254,63,1.07764328557181,1920240
"267","Kemba Walker","CHO","PG",20.8518518518519,4.40740740740741,5.19753086419753,1.55555555555556,0.481481481481481,-9.41975308641975,-0.827160493827161,-2.11111111111111,81,7.60182274978006,1.2e+07
"268","Kendall Marshall","PHI","PG",3.7,0.933333333333333,2.43333333333333,0.533333333333333,0.0666666666666667,-2.5,-0.133333333333333,-1.43333333333333,30,0.151702104777153,2144722
"269","Kendrick Perkins","NOP","C",2.45945945945946,3.45945945945946,0.837837837837838,0.297297297297297,0.297297297297297,-0.945945945945946,-0.378378378378378,-1.10810810810811,37,1.07515668460877,1499200
"270","Kenneth Faried","DEN","PF",12.4626865671642,8.67164179104478,1.17910447761194,0.477611940298507,0.895522388059702,-4.13432835820895,-1.28358208955224,-1.35820895522388,67,6.27732338616151,11235955
"271","Kent Bazemore","ATL","SF",11.6266666666667,5.05333333333333,2.28,1.30666666666667,0.506666666666667,-5.4,-0.373333333333333,-1.84,75,5.21903208088624,2e+06
"272","Kentavious Caldwell-Pope","DET","SG",14.5394736842105,3.71052631578947,1.81578947368421,1.44736842105263,0.223684210526316,-7.32894736842105,-0.565789473684211,-1.38157894736842,76,0.293682937160092,2891760
"273","Kevin Durant","OKC","SF",28.1805555555556,8.18055555555556,5.01388888888889,0.958333333333333,1.18055555555556,-9.48611111111111,-0.708333333333333,-3.47222222222222,72,16.1017494116645,20158622
"274","Kevin Garnett","MIN","PF",3.21052631578947,3.94736842105263,1.63157894736842,0.736842105263158,0.263157894736842,-1.60526315789474,-0.184210526315789,-0.421052631578947,38,2.26533281134372,8500000
"275","Kevin Love","CLE","PF",16.025974025974,9.8961038961039,2.41558441558442,0.753246753246753,0.532467532467532,-7.37662337662338,-0.727272727272727,-1.84415584415584,77,6.85868931104058,19500000
"276","Kevin Martin","MIN","SG",10.6410256410256,2.07692307692308,1.17948717948718,0.435897435897436,0.0256410256410256,-5.33333333333333,-0.435897435897436,-1.05128205128205,39,-0.323832033153104,7085000
"277","Kevin Martin","SAS","SG",6.1875,1.8125,0.75,0.5625,0.125,-3.4375,-0.125,-0.8125,16,-0.335879240235881,317475
"278","Kevin Seraphin","NYK","C",3.89583333333333,2.625,0.979166666666667,0.166666666666667,0.75,-2.52083333333333,-0.0833333333333333,-0.895833333333333,48,1.59954892841859,2800000
"279","Kevon Looney","GSW","PF",1.8,2,0,0,0,-0.6,0,-0.2,5,1.10983507560846,1131960
"280","Khris Middleton","MIL","SG",18.1518987341772,3.82278481012658,4.18987341772152,1.65822784810127,0.240506329113924,-8.0379746835443,-0.443037974683544,-2.27848101265823,79,2.91000654311911,1.5e+07
"281","Kirk Hinrich","ATL","PG",0.454545454545455,1.09090909090909,1.27272727272727,0.181818181818182,0.0909090909090909,-0.818181818181818,0,-0.272727272727273,11,-0.0481146572808406,2870000
"282","Klay Thompson","GSW","SG",22.1375,3.825,2.075,0.75,0.6125,-9.1875,-0.35,-1.725,80,3.85616377718096,15500000
